artist,title
Andre Rieu,All Men Shall Be Brothers From Beethoven's 9th Symphony
Andrew Johnston,Make Me a Channel of Your Peace
Eldagalmk,Now We Are Free
Faryl Smith,Evening Prayer
Frank Sinatra,Three Coins In a Fountain
Frank Sinatra,All The Way Home
Frank Sinatra,An Old-Fashioned Chr
Frank Sinatra,As You Desire Me
Frank Sinatra,Barbara
Frank Sinatra,Blue Lace
Frank Sinatra,But Nor For Me
Frank Sinatra,Call Me Irresponsibl
Frank Sinatra,Come Waltz With Me
Frank Sinatra,Desafinado
Frank Sinatra,Don't Be a Do-Badder
Frank Sinatra,Don't Wait Too Long
Frank Sinatra,Dry Your Eyes
Frank Sinatra,Early American
Frank Sinatra,Elizabeth
Frank Sinatra,Empty Tables 1
Frank Sinatra,Empty Tables 2
Frank Sinatra,Everybody Ought To B
Frank Sinatra,Everybody's Twistin'
Frank Sinatra,For a While
Frank Sinatra,Forget To Remember
Frank Sinatra,Fugue For Tinhorns
Frank Sinatra,Goin' Out Of My Head
Frank Sinatra,How Old Am I
Frank Sinatra,I Believe I'm Gonna
Frank Sinatra,I Left My Heart In S
Frank Sinatra,I Love My Wife
Frank Sinatra,I Love You
Frank Sinatra,I See It Now
Frank Sinatra,I Sing The Songs
Frank Sinatra,I Think I'm Gonna Ma
Frank Sinatra,I Would Be In Love
Frank Sinatra,I'm Not Afraid
Frank Sinatra,Indiscreet
Frank Sinatra,It Gets Lonely Early
Frank Sinatra,It's Alright With Me
Frank Sinatra,Just Say Hello
Frank Sinatra,Let us Break Bread
Frank Sinatra,Life's a Trippy Thin
Frank Sinatra,Like a Sad Song
Frank Sinatra,Linda
Frank Sinatra,Michael And Peter
Frank Sinatra,Mister Booze
Frank Sinatra,Moment To Moment
Frank Sinatra,Name It And It's You
Frank Sinatra,Once Upon a Time
Frank Sinatra,One Hundred Years Fr
Frank Sinatra,Only One To a Custom
Frank Sinatra,She Says
Frank Sinatra,Since Marie Has LeFt
Frank Sinatra,South
Frank Sinatra,Stargazer
Frank Sinatra,Star!
Frank Sinatra,Style
Frank Sinatra,Take Me
Frank Sinatra,The Best I Ever Had
Frank Sinatra,The Boys' Night Out
Frank Sinatra,The Game Is Over
Frank Sinatra,The Girls I've Never
Frank Sinatra,The Hurt Doesn't Go
Frank Sinatra,The Train
Frank Sinatra,Tina
Frank Sinatra,To Love a Child
Frank Sinatra,Twin Soliloquies
Frank Sinatra,Walk Away
Frank Sinatra,Watertown
Frank Sinatra,We Had a Good Thing
Frank Sinatra,We Open In Venice
Frank Sinatra,We Wish You a Merry Christmas
Frank Sinatra,What a Funny Girl
Frank Sinatra,What's Now Is Now
Frank Sinatra,When Does The Next M
Johannes Erdbeer,The Piano
La Manfredina,Anónimo Italiano
La quarte stampie royal,Anonimo Frances
La quinta stampie royal,Anonimo Frances
La Rotta,Anónimo Italiano
Ludwig van Beethoven,Symphony 6- I. Awakening of ha
Ludwig van Beethoven,Symphony 6- IV. Storm and Temp
Ludwig van Beethoven,Symphony 6- V. Shepherds' Song
Ludwig van Beethoven,II: 2
Ludwig van Beethoven,- Andante Maestoso,Adagio Ma
Ludwig van Beethoven,- Allegro Energico Sempre Ben
Ludwig van Beethoven,- Poco Allegro Stringendo Il 
O flos flagrans,Anónimo Italiano
Quand' Amor,Florentinus
Slovak Radio Symphony Orchestra,Maid with The Flaxen Hair
Snowman Film Score Walking In The Air
1812 -- Festival Overture For Orchestra In E Flat Major Op. 49
Wolfgang Amadeus Mozart,Overture to The Magic Flute KV 620
Wolfgang Amadeus Mozart,Minuet from Divertimento in D major KV 205
Wolfgang Amadeus Mozart,Rondo alla turca 
