artist,title
Death From Above 1979,We Dont Sleep At Night
My Brightest Diamond,Dreams Don't Look Like
Foster The People,Tabloid Super Junkie
Timbaland,3:30 In The Morning
Timbaland,Wit' Yo' Bad Self
Timbaland,Who Am I
Timbaland,What Cha Talkin' Bout
Timbaland,Birthday
Timbaland,What Cha Know About This
Timbaland,To my
Timbaland,Talking On The Phone
Timbaland,Put' Em On
Timbaland,Lobster and Scrimp
Timbaland,Keep It Real
Timbaland,John Blaze
Timbaland,I Get It On
Timbaland,Fat Rabbit
Timbaland,Can't Nobody
Timbaland,Bringin' It
Timbaland,Outro
Tony Jones,Everything You Want
IAYD,Intro AF
IAYD,No Closure
IAYD,City Of Mediocrity
IAYD,Mouko
IAYD,Blood Money
IAYD,Too Turnt
IAYD,Get Death
IAYD,Bury The Ratchet
IAYD,A.M.T.W.L.
IAYD,Doom This Groove
IAYD,Kurai Heya
IAYD,Death Online
IAYD,Mad Bummer
IAYD,Dolores
Collins,Soul
Viet Cong,Newspaper Spoons
Viet Cong,Pointless Experience
Viet Cong,March of Progress
Viet Cong,Bunker Buster
Viet Cong,Silhouettes
Viet Cong,Death
Lil Wayne,Coco
Lil Wayne,Sh!t
Lil Wayne,Trap House
Lil Wayne,Selsun Blue
Lil Wayne,Fingers Hurting
Lil Wayne,HollyWeezy
Lil Wayne,Drunk In Love
Lil Wayne,You Guessed It
Lil Wayne,Try Me
Mac Miller,Melt
Mac Miller,Tequila
Mac Miller,Lúa
Mac Miller,Just Some Raps Nothing To See Here Move Along
Mac Miller,Erica's House
Mac Miller,Boo!
G-Eazy,Why Thank You
Steezefield,Said That
Petit Biscuit,Memories
Moosh and Twist,Don't Think About It
G-Eazy,I Might
Emilio Paredes,Play
Mura Masa,Lovesick Fuck
Mac Miller and Wiz Khalifa,Gettin' Up
Mac Miller and Wiz Khalifa,High Life
Mac Miller and Wiz Khalifa,Goin' Places
Mac Miller and Wiz Khalifa,Tryna Marry Money
Mac Miller and Wiz Khalifa,Ladies and Gentlemen
Mac Miller and Wiz Khalifa,This Evening
Mac Miller and Wiz Khalifa,Blunt of My Mind
Mac Miller and Wiz Khalifa,Let's Get High
Mac Miller and Wiz Khalifa,Ounces and Pounds
Danny Brown,Worth It
Chance The Rapper,Israel
Mac Miller,Pet Sounds
Captain Murphy,El Topo
Captain Murphy,Mighty Morphin Foreskin
Captain Murphy,The Ritual
Captain Murphy,Between Friends
Captain Murphy,Children of The Atom
Captain Murphy,Jalepenos
Captain Murphy,The Killing Joke
Captain Murphy,Hovercrafts and Cows
Captain Murphy,Gone Fishing
Captain Murphy,Gloe
Captain Murphy,Drive Thru
Captain Murphy,Immaculation
Captain Murphy,Personalities
Captain Murphy,The Prisoner
Captain Murphy,The Idea
Lil B,Whats Next
Lil B,First Mixtape
Lil B,Amen
Lil B,We Rare
Bullet For My Valentine,V
Dr. Dre,Darkside Gone
Fabolous,Real One
Fabolous,Doin It Well
Fabolous,Tell Ya Friends
Fabolous,Sorry Not Sorry
Fabolous,The Plug
Fabolous,Trap Royalty
Fabolous,Trapline Bling
Fabolous,Started Something
Fabolous,Summertime Sadness
