artist,title
Flosstradamus Baauer,Rollup
DJ Craze Bro Safari,Spooked
SPL 12th Planet ?Z,Ratchet Strap
Hpntk,Underground Tactics
Foreign Beggars ?Z,Goon Bags
Hucci,Hustle
Gent and Jawns,TurnUp
S-X,Bricks
Clicks and Whistles,Fumando
Zeds Dead,By Your Side
J.Rabbit,Tequila Remix
Tyler Clark,Get Em
Bro Safari,Chimbre
Tomsize and Dakat,Jungle Pan
Kicks N Licks,Lost and Found
Diplo,Pretty With Her Eyes Low
Sable,Foolin'
Bro Safari,No Control
Hex Cougar,YNGBLOOD
Troy Samuela,Yams
Slander,New Monarchy
Conrank,Sinking In
Matstubs,I'd Love to Change The World
Cashmere Cat and DJ Mustard,Ice Rink
Kimono,Devoted to God
Deficio,Enter The Jungle
KRNE and Portrait,Italics VIP
Datsik,Barely Alive
A-Trak and Milo and Otis,Out The Speakers
