artist,title
The Fratellis,Ooh La Hot Love
The Fratellis,3 Skinny Girls
The Fratellis,Dirty Barry Stole The Bluebird
The Fratellis,The Pimp
The Fratellis,Pretty Like a Girl
The Fratellis,Cuntry Boys and City Girls
The Fratellis,Ooh La Hot Love
The Fratellis,Cuntry Boys and City Girls
The Fratellis,Here We Stand
The Fratellis,Jesus Stole My Baby
The Fratellis,Babydoll
The Fratellis,Nobody's Favourite Actor
The Fratellis,Too Much Talk In Tokyo
The Fratellis,Costello Music Sampler
The Fratellis,Headcase
The Fratellis,The Pimp
The Fratellis,Hotel Yorba
The Fratellis,Meatwagon Action
The Fratellis,Mercy
The Fratellis,Nobody's Favorite
The Fratellis,Steamin'
The Fratellis,Seeker
The Fratellis,The Guteratti
The Fratellis,I Fought The Law V. II
The Fratellis,Red Headed Woman
The Fratellis,Let Me In Or Let Me Go
The Fratellis,New York New York 
The Kooks,Cap
The Kooks,Fuck The World Off
Arctic Monkeys,Chun Li's Spinning Bird Kick
Arctic Monkeys,Seven
Arctic Monkeys,Little Illusion Machine
Arctic Monkeys,Curtains Close
Arctic Monkeys,Ravey Ravey Ravey Club
Arctic Monkeys,On The Run From The MI5
Arctic Monkeys,Knock a Door Run
Arctic Monkeys,Choo Choo
Arctic Monkeys,Space Invader
Arctic Monkeys,Wavin Bye To The Train Or The Bus
Bloc Party,Version 2.0
Bloc Party,Storm And Stress
Bloc Party,Always New Depths
Bloc Party,Cavaliers And Roundheads
Bloc Party,We Were Lovers
Bloc Party,Rhododendron
Bloc Party,Secrets
Bloc Party,Atonement
Bloc Party,Cain Said to Abel
Bloc Party,Vision Of Heaven
Bloc Party,Every Time Is The Last Time
Bloc Party,Zepherus
Bloc Party,Call The Shots
Bloc Party,We Were Lovers
Bloc Party,England
Bloc Party,Idea
Bloc Party,This Is Not a Competition
The Strokes,Life's a Gas
The Strokes,Life's a Gas
The Strokes,I'll Try Anything Once
The Strokes,Hawaii
The Strokes,Last Night
The Strokes,12-15
The Strokes,You Walk Way Too Much
Smashing Pumpkins,Rhinocerous
Smashing Pumpkins,Lucky 13
Smashing Pumpkins,Slow Down
Smashing Pumpkins,Here's To The Atom Bomb
Smashing Pumpkins,Rock On
Smashing Pumpkins,Winterlong
Smashing Pumpkins,Soot and Stars
Smashing Pumpkins,Quasar
Smashing Pumpkins,Panopticon
Smashing Pumpkins,The Celestials
Smashing Pumpkins,Violet Rays
Smashing Pumpkins,My Love is Winter
Smashing Pumpkins,One Diamond One Heart
Smashing Pumpkins,Pinwheels
Smashing Pumpkins,Oceania
Smashing Pumpkins,Pale Horse
Smashing Pumpkins,The Chimera
Smashing Pumpkins,Glissandra
Smashing Pumpkins,Inkless
Smashing Pumpkins,Wildflower
The White Stripes,Aluminum
Interpol,Gavilan
Interpol,Direction
U2,It's Christmas
Weezer,Knock-Down Drag-Out
Weezer,Turn Me Round
Radiohead,Nice Dream
Radiohead,Life In a Glass House
Radiohead,A Punchup at a Wedding.
Radiohead,Mk2
Radiohead,Last Flowers to The Hospital
Cake,Rock'n'Roll Lifestyle
Cake,Subtract One Love
Queens of The Stone Age,Everybody Knows 
