artist,title
Wale,Let a Nigga Know
Wale,GetMeDoe
Wale,Skool Daze
Wale,H20
Wale,Street Runner
Wale,Cool Off
Wale,Fa We We Freestyle
Wale,The One Eye Kitten Song
Wale,Ji-Dope
Wale,The Right One
Wale,Money Changes
Wale,Georgetown Press
Wale,Never Never Freestyle
Travi$ Scott,Drugs You Should Try It
Wale,The Summer League
Travi$ Scott,Night Call
Rick Ross,We Gon Make It
Rick Ross,Geechi Liberace
Rick Ross,Icon
Rick Ross,World's Finest
Rick Ross,Drive a Nigga Crazy
Rick Ross,Turn Ya Back
Rick Ross,Knights of The Templar
Rick Ross,Beautiful Lie
Rick Ross,She Wanna Fuck
Rick Ross,Bel Air
Rick Ross,Dead Rappers
Chief Keef,Superheros
Chief Keef,Millions
Chief Keef,Aint Even Know
Chief Keef,Flu
Chief Keef,Shorties
Chief Keef,Swerve
Chief Keef,TD
