artist,title
Andy Kirk's Twelve Clouds Of Joy,Love Is The Thing
Antibalas Afrobeat Orchestra,Go Je Je
Cecil Taylor,Love For Sale
The Classical Jazz Quartet,Rachmaninov Concerto N°2
Count Basie With Ann Moore,Meet Me At No Special Place
Hank Jones Trio,Favors
Harry James,Hommage À Swee Pea
Manny Oquendo's Libre,Little Sunflower
Raphael Fays,Menilmontant
Sydney Bechet,Maple Leaf Rag
Stanley Cowell,El Space-O
Thelonius Monk Quintet,Criss-Cross
Tommy Dorsey,Loose Lid Special
Cannonball Adderley Miles Davis,Autumn Leaves
The Horace Silver Quintet,Senor Blues
Dizzy Gillespie,Blues For Max
Hi-Heel Sneakers,The Blue Mitchell Quintet
Caravan,Duke Ellington
A Night In Tunisia,Art Blakey And The Jazz Messengers
James Newton,Black And Tan Fantasy
Mambo De La Pinta,Art Pepper Quintet
Art Blakey,Amuk
Congalegra,Horace Parlan
Winter,Patricia Barber
Closer To Home,Don Byron
Wynton Marsalis,Greensleeves
Miles Davis,Studio Chatter
Miles Davis,Half Nelson -master take 2
Billie Holiday,Everything is Good
Billie Holiday,They Call Me Crazy
Billie Holiday,Why Not Take All
Louis Armstrong,I Can't Give You Anything But Love New
Louis Armstrong,Hellza Poppin
Louis Armstrong,I Wonder
Miles Davis,Down
Miles Davis,If I Could Write a Book
Voyceboxing,Let there be peace on earth
Miles Davis,Dancing in The Dark
Dave Stewart and Candy Dufler,Lili Was Here
Johnny Guitar,Sil Austin
Chris White,A New Day
Candy Dufler,Home Is Not a House
Chris White,A New Day
Sil Austin,Johnny Guitar
Wilbert Longmire,Black Is The Colour
Noa and Pat Metheny,Child Of Man
Bernard Oattes,When I Go To Sleep
Loud Jazz Band,4ever2U
Gato Barberi,Europa
Jimmy Haslip,Los Feliz
Patrick Leonard,The Slough
Anna Maria Jopek,Poranne Јzy
Keiko Matsui,Night Howk's Dream
Caddish,Dizzy
15 Minute Project,Soca
De-Phazz,You Stayed
Namaste,Havana Blues
Jimmy Sommers and Coolio,Lowdown
Randy Crawford,When I Get Over You
Norman Brown,Just Chillin'
Basia,So Nice
Woodie Doodie,Mr. Jeff
Anna Maria Jopek,W Tej Piosence Jest Stale Zima
Kayah,Twoja Dlon
Grzegorz Turnau,Platki Oplatki
Breaking News,Coffee Cup
Madelein Peyrox,Dance Me To The End Of Love
Gino Vanella,Walter Whitman Where Are You
Basia,Drunk Of Love
Grazynaa Auguscik and Paulinho Garcia,Apelo
Marcin Nowakowski,You Are The Sun
Caroline Henderson,Libertango
Gino Vannella,Venus Envy
Leszek Mozdzer,Easy Money
India Arie,The Heart Of The Matte
Don Grusin,Outback Oasis
String Connection,Bizzaramente
Beminek,Powrotna Bossa Nova
Laima,What's Forever
Anna Maria Jopek,Teraz I Tu
Silje Nergaard,Darkness Out Of The Blue
Sophie Solomon,Burn't By The Sun
Farnell Newton,Jazz 12 Mix
Benny Goodman,When You're Smiling
Benny Goodman,But Not For Me
Benny Goodman,I Apologize
Benny Goodman,I'll Always Be In Love With You
Benny Goodman,Happy Blues
Benny Goodman,Shirley Steps Out
Benny Goodman,Give Me Those Good Old Days
Benny Goodman,The Maids Of Cadiz
Benny Goodman,I'm In a Cryin' Mood
Benny Goodman,Love Is Just Around The Corner
Benny Goodman,High Fa-Lutin'
Benny Goodman,I Can't Get Started
Benny Goodman,Hi 'Ya Sophia
Benny Goodman,What Can't I Say After I Say I'm Sorry
Benny Goodman,Baby Have You Got a Little Love To Spare
Benny Goodman,You Took Advantage Of Me
Benny Goodman,Behave Yourself
Benny Goodman,Eight Nine And Ten
Benny Goodman,Gonna Get a Girl
Benny Goodman,The Record Ban Blues
Benny Goodman,Bedlam
Benny Goodman,The Bannister Slide
Benny Goodman,In The Land Of Oo-Bla-Dee
Benny Goodman,Benny's Boogie
Benny Goodman,Show Shine Boy
Benny Goodman,At Sundown
Benny Goodman,Music Maestro Please
BadBadNotGood,Based Is How You Feel Inside
BadBadNotGood,Improvised Jam
BadBadNotGood,Mass Appeal / Transmission
BadBadNotGood,I Got a Bad Feeling About This
BadBadNotGood,Salmonella
BadBadNotGood,The World Is Yours / Brooklyn Zoo
BadBadNotGood,Freedom / Billium Evans
BadBadNotGood,Listeriosis
BadBadNotGood,Camel
BadBadNotGood,Title Theme / Saria's Song / Song Of Storms
BadBadNotGood,Outro / Glasper
BadBadNotGood,Earl
BadBadNotGood,Vices
BadBadNotGood,Rotten Decay
BadBadNotGood,Limit To Your Love
BadBadNotGood,Bastard / Lemonade
BadBadNotGood,CHSTR
BadBadNotGood,UWM
BadBadNotGood,DMZ
BadBadNotGood,CMYK
BadBadNotGood,Flashing Lights
BadBadNotGood,You Made Me Realise
BadBadNotGood,Sustain
BadBadNotGood,Hard In Da Paint / Wow Rare
BadBadNotGood,Now Or Never
BadBadNotGood,Inspired Boys 2014 Mix
BadBadNotGood,Limit To Your Love
