artist,title
T.I.,What You Know About That
DeeJay Element,Sound Familiar
DJ Drama,Real Nigga In The Building
Rome Cee,Integrity
Jay-Z,Glory
Tech N9ne,Fuck Food
Tech N9ne,Curious
Young Jeezy,Soul Survivor
Young Jeezy,My President
Big Sean,Control
Big Sean,Marvin Gaye and Chardonnay
Kanye West,Never Look Back
Kanye West,What It Do/Is
Yelawolf,Hammer Time
Lloyd Banks,Where I'm At
Lloyd Banks,Shot Caller
Nickelus F,AM 2 PM Extended Version
Slim The Mobster,These Bitches
Nino Bless,Not
Lil Dicky,Ex-Boyfriend
Lil Dicky,Staying In
Lil Dicky,The Cypher
Lil Dicky,Sports
Lil Dicky,Too High
The Alchemist,Diagnosis
Mugz,Ready For Em
Mugz,Blackout
DMX,Make It Count
Common,No Sell Out
Freeband Gang,Fo Real
Kendrick Lamar,Ransom
Kendrick Lamar,The Jig Is Up Prod. by J.Cole and Canei Finch
Kendrick Lamar,Westside Right On Time
The Alchemist,Flight Confirmation
Lil Dicky,Ham
Lil Dicky,Bars
Fatty Spins,Doin' Your Mom
Huff and Doback,Boats n' Hoes
Ray William Johnson,My Balls
Wax,Stalkin Ya Mom
Childish Gambino,Melrose
Talib Kweli,Violations
Ray J,Drank Money
Slaughterhouse,Party
Big Boi,Lanes
Big K.R.I.T.,Conscious Effort Freestyle
Mac Miller,Amen Brother
Lupe Fiasco,Thorns and Horns
Action Bronson,The G Code
Nino Bless,#Audiotrip
Marvin Divine,Dark Horse
T.I.,We Dem Boyz
Tarik,Don't Look So Far Away
Packy,Ready For It
Girl Talk and Freeway,Lived It
Kid Cudi,I Do My Thing
